"id","no","route","code","location","delivery","info","tng_site","tng_route","latitude","longitude","images","sort_order","qr_code","destination","toll_price","active","no_category"
"40a18b8e-2701-4844-ac94-61b3d4232269","81","SL 2","75","Harmoni Apartments","","Harmoni Apartment Eco Majestic, Jalan Eco Majestic 3A/5, 43700 Beranang, Selangor","TnG Mont Kiara","0.00","2.90359150","101.84686750","[]","21","","0.00","0.00","true","1"
"441ee7d0-907b-4682-99b7-405c9424b098","43","KL 6","201","Wisma Std Chartered","Weekday","","TnG KLCC","0.00",,,"[]","71","","0.00","0.00","true","1"
"447c9234-afda-4ed7-b4ad-bd70db178f73","9","SL 3","116","KDU","","UOW Malaysia, Jalan Kontraktor U1/14, Glenpark U1, 40150 Shah Alam, Selangor|||DESCRIPTION||||||URL|||https://www.uow.edu.my","TnG Wangsa Maju","0.00","3.09269340","101.55975220","[]","41","","0.00","0.00","true","1"
"460e5845-1a13-42d2-90c8-3f9f435b3508","17","KL 7","127","Ppum Menara Utama","Daily","","TnG Shah Alam","0.00",,,"[]","48","","0.00","0.00","true","1"
"462b2f1d-67af-45ac-81a7-5369388ae134","79","SL 3","64","Kpj Klang","","KPJ Klang Specialist Hospital, 102, Persiaran Rajawali/KU 1, Bandar Baru Klang, 41150 Klang, Selangor","TnG Damansara","0.00","3.06225010","101.46323030","[]","19","","0.00","0.00","true","1"
"465a59c9-a8be-4004-ad55-521c4eb798ec","72","KL 6","37","The Havre","Daily","The Havre Bukit Jalil, The Havre, 217, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur|||DESCRIPTION||||||URL|||https://asetkayamas.com/developments/the-havre-bukit-jalil","TnG Brickfields","0.00","3.05611880","101.66640520","[]","13","","0.00","0.00","true","1"
"470407ef-183a-4d35-8e95-ca3b8c2463e2","78","KL 3","60","Eco Sky","","Eco Sky, 188, Jln Kuching, Taman Wahyu, 51200 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG Sentul","0.00","3.21905200","101.67149910","[{""url"":""https://envs.sh/GeS.jpg"",""type"":""image"",""caption"":""""},{""url"":""https://envs.sh/Geq.jpg"",""type"":""image"",""caption"":""""},{""url"":""https://envs.sh/Ge0.jpg"",""type"":""image"",""caption"":""""}]","18","","0.00","0.00","true","1"
"482abcbb-d73e-44e1-b397-de62d027e411","71","KL 3","35","SouthView Residence","Daily","Southview Residence By UOA, Bangsar South, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG KL Central","0.00","3.11304160","101.66473130","[]","12","","0.00","0.00","true","1"
"4a8afff3-2316-41ba-965e-2f0ec7bdc724","52","KL 7","219","Bursa Malaysia","Weekday","Bursa Malaysia - Stock Exchange Centre, Exchange Square, Bursa Malaysia Berhad (30632-P, Bukit Kewangan, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","TnG KL Central","0.00","3.14829890","101.70128840","[]","79","","0.00","0.00","true","1"
"4ad73280-3619-407d-b871-161e408eedfa","77","SL 1","59","Zeva Residence","","Zeva Residence, Persiaran Pinggiran Putra, Taman Pinggiran Putra, 43300 Seri Kembangan, Selangor","TnG Bukit Bintang","0.00","2.99324410","101.67611680","[]","17","","0.00","0.00","true","1"
"512d9606-d4fc-4e96-87ef-ba28e1079d99","55","SL 1","230","HS Staff Quarter A","Weekday","","TnG KL Central","0.00",,,"[]","82","","0.00","0.00","true","1"
"56547565-140c-45cd-a4c2-9d10dc4251ee","21","SL 1","131","Hupm Lobby Clinic","Daily","","TnG Bukit Bintang","0.00",,,"[]","51","","0.00","0.00","true","1"
"58e53509-3390-48bb-a92b-c7e3e70651f0","8","SL 2","115","Nottingham","","","TnG KL Central","0.00",,,"[]","40","","0.00","0.00","true","1"
"59ac0a81-fcbb-4bf3-8a68-c754130e9ee7","70","KL 6","34","Lanai Residence","Alt 2","Lanai Residences Bukit Jalil, Jln 2/155a, Bandar Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur|||DESCRIPTION||||||URL|||https://berjayaproperties.com/project/lanai","TnG KLCC","0.00","3.05135640","101.68759470","[]","11","","0.00","0.00","false","1"
"5aac34f9-8ad0-44ea-8bf1-63a48194218b","91","SL 3","96","Avisenna Woman & Children","Daily","Avisena Women's & Children's Specialist Hospital, 3, Jalan 14/4, Seksyen 14, 40000 Shah Alam, Selangor|||DESCRIPTION||||||URL|||https://womenandchildren.avisena.com.my","TnG Brickfields","0.00","3.07167090","101.52124780","[]","30","","0.00","0.00","true","1"
"5e087219-3b17-41c0-9447-f67ce0e54c1b","26","KL 3","142","SouthLink Residence","Daily","","TnG Petaling Jaya","0.00",,,"[]","55","","0.00","0.00","true","1"
"63e118d7-548a-4a4f-a36a-5d370145c43a","60","SL 3","242","Hospital Pantai Klang","Daily","Pantai Hospital Klang, Lot 5921, Persiaran Raja Muda Musa, Taman Radzi, 41200 Klang, Selangor|||DESCRIPTION||||||URL|||https://www.pantai.com.my/klang","TnG Damansara","0.00","3.02643850","101.42649870","[]","86","","0.00","0.00","true","1"
"64088e05-268c-484a-8be1-75d1a47a12ea","74","KL 7","43","Kpj Damansara","Daily","Damansara Specialist Hospital, 119, Jalan SS 20/10, Damansara Utama, 47400 Petaling Jaya, Selangor","TnG Ampang","0.00","3.13755600","101.62753500","[]","15","","0.00","0.00","true","1"
"6921be7b-7ea9-4d32-ab73-13181d362792","85","KL 6","82","TDCX","Weekday","Menara Kembar Bank Rakyat, Menara 1, 33, Jalan Rakyat, Kuala Lumpur Sentral, 50470 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG Cheras","0.00","3.13023640","101.68271120","[]","25","","0.00","0.00","true","1"
"6bdf19cb-0bb7-4a3c-a1e9-622213110192","75","SL 2","5","SH Elite PH","Daily","FamilyMart Mini Shell Elite Putra Heights, 47630 Subang Jaya, Selangor","TnG Mont Kiara","0.00","3.02916090","101.57537910","[]","0","","0.00","0.00","true","1"
"6d2491a6-297e-47e9-9fb7-915ecbfdbfe1","82","KL 4","77","Icon City","","Icon City, 1B, Jalan SS 8/39, SS8, 47300 Petaling Jaya, Selangor","TnG Shah Alam","0.00","3.08652090","101.61419910","[]","22","","0.00","0.00","true","1"
"78ae7027-86e3-4e0a-9210-2d570cd323f0","42","KL 7","200","AICB","Weekday","","TnG Damansara","0.00",,,"[]","70","","0.00","0.00","true","1"
"795eeb46-cbc7-415d-8fc3-683396d0cd3a","11","SL 3","113","CelcomDigi Hub","Weekday","CelcomDigi Hub, 10, Jalan Delima 1/1, Subang Hi-tech Industrial Park, 40000 Subang Jaya, Selangor","TnG Brickfields","0.00","3.06848100","101.57053500","[]","39","","0.00","0.00","true","1"
"7a8e8193-fe5d-4a96-99a1-c1b26a310cda","62","KL 3","245","Selgate Hospital","Daily","Selgate Specialist Hospital Rawang (SSH Rawang), Persiaran Anggun Ria, Sungai Bakau, 48000 Rawang, Selangor","TnG Bukit Bintang","0.00","3.31742000","101.53287600","[]","88","","0.00","0.00","true","1"
"81a9c0c1-d62c-4e40-9bd1-8df017222f36","4","KL 7","106","Wisma Cimb","Weekday","No 11, 4, Wisma CIMB, 83a, Jalan Pantai Baharu, Bangsar, 59100 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG Damansara","0.00","3.11556420","101.66519230","[]","37","","0.00","0.00","true","1"
"82c94a22-999e-4f50-a169-c4319a74c237","49","KL 3","216","Desa Park City","","","TnG Damansara","0.00",,,"[]","76","","0.00","0.00","true","1"
"839c0e06-c14c-4e07-92f3-1d9232039da8","1","KL 6","103","Menara Dana 13","Daily","","TnG Brickfields","0.00",,,"[]","35","","0.00","0.00","true","1"
"8572e009-6e6f-4e11-b398-acf6486454cf","0","KL 6","101","IMU University","Daily","IMU University - Bukit Jalil Main Campus, 126, Jln Jalil Perkasa 19, Bukit Jalil, 57000 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG Brickfields","0.00","3.05977890","101.68725240","[]","33","","0.00","0.00","true","1"
"8739008c-608b-46e4-b6c1-76f2f8a2a201","29","SL 2","146","TM Campus","Weekday","WMJ4+QP TM Campus, Cyberjaya, 63000 Cyberjaya, Selangor","TnG Cheras","0.00","2.93190290","101.65680020","[]","58","","0.00","0.00","true","1"
"8794165a-77b5-429b-8613-0b88e0ce190c","39","KL 7","185","Arcoris Mont Kiara","Daily","Arcoris Mont Kiara, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Federal Territory of Kuala Lumpur","TnG Wangsa Maju","0.00","3.16774190","101.65186940","[]","67","","0.00","0.00","true","1"
"8a2e4f9a-df43-4fbf-8667-2e96f5053344","80","KL 4","74","Segi University","Weekday","SEGi University, 9, Jalan Teknologi, Pju 5 Kota Damansara, 47810 Petaling Jaya, Selangor","TnG Ampang","0.00","3.14835880","101.57715540","[{""url"":""https://envs.sh/5l8.jpg"",""type"":""image"",""caption"":""""},{""url"":""https://envs.sh/5l7.jpg"",""type"":""image"",""caption"":""""}]","20","","0.00","0.00","true","1"
"9244db6f-24c8-488f-8f5f-6be1db676db3","61","SL 3","244","Pkns Office","Daily","G-01, IBU PEJABAT PKNS (LAMAN PKNS), LAMAN PKNS. 2, 14/8 14, Jalan Indah, Seksyen 14, 40000 Shah Alam, Selangor","TnG Shah Alam","0.00","3.07473090","101.51616510","[]","87","","0.00","0.00","true","1"
